일련번호,정산지역코드,정류장ID,버스정류장명,정류장x위치값,정류장Y위치값,행정구역코드
1,26001,6801095,한솔중학교(첫마을7단지),12715.3348,3628.5228,3611051000
2,26001,6800683,욱일아파트,12717.6892,3636.1428,3611025000
3,26001,6800012,실광주유소,12716.6361,3633.2610,0000000000
4,26001,6800987,부강버스정류소,12721.983,3631.802,0000000000
5,26001,6900473,송성2리,12712.8568,3639.7452,3611038000
6,26001,6900475,베어트리파크,12712.6534,3640.3218,3611038000
7,26001,6900474,송성2리입구,12712.8622,3639.7566,3611038000
8,26001,6800039,월암교,12717.2668,3634.2024,0000000000
9,26001,6800003,죽림리,12717.9340,3635.4450,0000000000
10,26001,6800046,조치원역,12717.8141,3636.0702,0000000000
11,26001,6801058,첫마을3단지,12715.6702,3628.6926,3611051000
12,26001,6801064,대평삼거리,12716.7640,3628.1868,3611051000
13,26001,6801018,감성초등학교,12717.2445,3626.6192,0000000000
14,26001,6801019,감성리,12717.2913,3626.4315,0000000000
15,26001,6800321,명학리,12720.9540,3632.1260,3611032000
16,26001,6800794,대평리,12716.886,3628.109,0000000000
17,26001,6801295,범지기마을4단지,12714.9980,3630.5032,3611053000
18,26001,6801905,고운동커뮤니티센터북측,12714.2013,3631.2005,3611053000
19,26001,6801906,고운동커뮤니티센터북측,12714.1962,3631.2148,3611051000
20,26001,6801151,범지기마을10단지,12715.1356,3631.1274,3611053000
21,26001,6801152,아름초등학교,12715.0372,3630.8820,3611053000
22,26001,6801153,범지기마을6 11단지,12714.9880,3630.6270,3611053000
23,26001,6801293,가재마을7 12단지,12714.9773,3630.3889,3611053000
24,26001,6801917,가재마을11단지,12715.0102,3630.2627,3611053000
25,26001,6801878,가락마을17 18단지,12714.0971,3631.1911,3611053000
26,26001,6801880,두루고등학교,12713.8678,3631.0424,3611053000
27,26001,6801882,가락마을10 13단지,12713.7627,3630.8087,3611053000
28,26001,6801885,가락마을9 11단지,12713.7777,3630.6338,3611053000
29,26001,6801887,으뜸초등학교,12713.8880,3630.4222,3611053000
30,26001,6801889,고운동커뮤니티센터남측,12714.0866,3630.2596,3611053000
31,26001,6801888,고운동커뮤니티센터남측,12714.1161,3630.2567,3611053000
32,26001,6801886,으뜸초등학교,12713.9021,3630.4296,3611053000
33,26001,6801884,가락마을9 11단지,12713.7935,3630.6408,3611053000
34,26001,6801883,가락마을10 13단지,12713.7795,3630.8098,3611053000
35,26001,6801881,두루고등학교,12713.8816,3631.0340,3611053000
36,26001,6801879,가락마을17 18단지,12714.0962,3631.1759,3611053000
37,26001,6806238,고운동(만남로),12714.1591,3630.0261,3611053000
38,26001,6806237,고운동(만남로),12714.1789,3630.0680,3611053000
39,26001,6806255,새뜸마을7 10단지,12715.0417,3629.3064,3611051000
40,26001,6800828,금강수목원(산림박물관),12714.1402,3626.2680,3611034000
41,26001,6800823,영곡2리,12715.3180,3627.5232,3611034000
42,26001,6800822,성덕1리,12715.9864,3627.6582,3611034000
43,26001,6800826,도남리,12713.9554,3626.7450,3611034000
44,26001,6801144,세종장례식장입구,12717.2543,3634.2029,3611036000
45,26001,6901145,한뜰마을,12716.2728,3630.2338,0000000000
46,26001,6901146,세종호수공원,12716.6303,3630.1331,0000000000
47,26001,6901148,연세초등학교,12716.4003,3630.3638,0000000000
48,26001,6800486,달전2리입구,12710.4970,3637.6134,0000000000
49,26001,6800492,달전리(태호농장),12710.6488,3636.9642,3611037000
50,26001,6800500,양곡리,12710.6260,3638.5896,3611037000
51,26001,6800209,세종여자고등학교,12717.3022,3636.3918,3611025000
52,26001,6800210,서창리,12717.0592,3636.3156,3611025000
53,26001,6800211,봉산리,12716.8552,3636.3726,3611025000
54,26001,6800212,봉산1리마을회관,12716.6788,3636.4164,3611025000
55,26001,6800213,봉산1리,12716.6434,3636.2904,3611025000
56,26001,6800214,방축골(갑부농원),12716.5636,3636.0450,3611025000
57,26001,6800215,세종시민체육관,12717.0862,3635.6707,0000000000
58,26001,6800216,신흥주공아파트,12717.3838,3635.7060,3611025000
59,26001,6800217,대동초등학교,12717.6114,3635.7186,0000000000
60,26001,6800218,죽림리,12717.7605,3635.7623,0000000000
61,26001,6800219,조치원역뒤편,12717.7054,3636.0366,3611025000
62,26001,6800221,세종세무서,12717.6472,3636.3642,3611025000
63,26001,6800380,구렁말,12717.3334,3637.0494,3611025000
64,26001,6800381,신안리마을회관,12717.2170,3636.9930,3611025000
65,26001,6800382,중앙요양병원,12717.3640,3636.8400,3611025000
66,26001,6800383,신안1리입구,12717.4726,3636.8118,3611025000
67,26001,6800680,신봉초등학교,12717.3796,3636.1698,3611025000
68,26001,6800681,세종시문화예술회관,12717.4210,3635.9214,3611025000
69,26001,6800682,죽림리,12717.7426,3635.8218,0000000000
70,26001,6800684,침산리,12717.6382,3636.4104,3611025000
